* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 27-Jun-2023 22:13:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A
* Measurement: B to A at 6,000 Hz
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 21.037 Hz
*
* Freq(Hz)	SPL(dB)
8992.010742	70.884
9057.170898	70.606
9122.802734	70.336
9188.910156	70.071
9255.497070	69.811
9322.566406	69.555
9390.121094	69.301
9458.166016	69.049
9526.704102	68.798
9595.738281	68.550
9665.273438	68.303
9735.311523	68.060
9805.857422	67.820
9876.915039	67.588
9948.487305	67.363
10020.578125	67.149
10093.191406	66.949
10166.331055	66.765
10240.000000	66.598
10314.203125	66.449
10388.944336	66.320
10464.226562	66.209
10540.054688	66.116
10616.432617	66.039
10693.363281	65.977
10770.852539	65.928
10848.902344	65.891
10927.517578	65.867
11006.703125	65.856
11086.461914	65.861
11166.798828	65.884
11247.718750	65.926
11329.223633	65.991
11411.320312	66.079
11494.011719	66.191
11577.301758	66.327
11661.195312	66.484
11745.697266	66.660
11830.811523	66.852
11916.542969	67.054
12002.894531	67.262
12089.873047	67.472
12177.480469	67.676
12265.723633	67.870
12354.606445	68.048
12444.132812	68.204
12534.308594	68.332
12625.136719	68.428
12716.624023	68.486
12808.773438	68.504
12901.591797	68.480
12995.082031	68.415
13089.250000	68.308
13184.099609	68.161
13279.636719	67.979
13375.867188	67.764
13472.793945	67.522
13570.422852	67.259
13668.759766	66.981
13767.809570	66.692
13867.577148	66.397
13968.067383	66.100
14069.285156	65.806
14171.237305	65.518
14273.927734	65.238
14377.362305	64.970
14481.546875	64.713
14586.486328	64.470
14692.185547	64.241
14798.651367	64.026
14905.888672	63.823
15013.902344	63.631
15122.700195	63.449
15232.285156	63.274
15342.664062	63.104
15453.843750	62.939
15565.829102	62.776
15678.625000	62.616
15792.239258	62.456
15906.675781	62.297
16021.942383	62.138
16138.043945	61.980
16254.986328	61.821
16372.777344	61.663
16491.421875	61.506
16610.923828	61.348
16731.294922	61.192
16852.535156	61.037
16974.656250	60.884
17097.662109	60.733
17221.558594	60.586
17346.353516	60.443
17472.052734	60.304
17598.662109	60.172
17726.189453	60.045
17854.640625	59.925
17984.021484	59.811
18114.341797	59.703
18245.605469	59.601
18377.820312	59.503
18510.994141	59.409
18645.132812	59.317
18780.242188	59.228
18916.332031	59.140
19053.408203	59.052
19191.476562	58.964
19330.546875	58.876
19470.623047	58.787
19611.714844	58.697
19753.830078	58.605
19896.974609	58.513
